资源编号,分类,路径,类型,现有索引,当前用途说明,建议动作,确认结果,备注
ART-0160,其他美术,Assets/Resources/Sprite/Environments/env_light_pillar_a.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0161,其他美术,Assets/Resources/Sprite/Environments/env_light_pillar_b.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0162,其他美术,Assets/Resources/Sprite/Environments/env_wall_blood.png,图片（PNG）,运行时索引：map.wall.blood,运行时通过资源键 map.wall.blood 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0163,其他美术,Assets/Resources/Sprite/Environments/env_wall_metal.png,图片（PNG）,运行时索引：map.wall.metal,运行时通过资源键 map.wall.metal 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0164,其他美术,Assets/Resources/Sprite/Environments/env_wall_ruins.png,图片（PNG）,运行时索引：map.wall.ruins,运行时通过资源键 map.wall.ruins 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0165,其他美术,Assets/Resources/Sprite/Items/item_chest_boss.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0166,其他美术,Assets/Resources/Sprite/Items/item_chest_common.png,图片（PNG）,运行时索引：chest.chest_common,运行时通过资源键 chest.chest_common 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0167,其他美术,Assets/Resources/Sprite/Items/item_chest_death.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0168,其他美术,Assets/Resources/Sprite/Items/item_chest_rare.png,图片（PNG）,运行时索引：chest.chest_rare,运行时通过资源键 chest.chest_rare 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0169,其他美术,Assets/Resources/Sprite/Items/item_recipe_book.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0170,其他美术,Assets/Resources/Sprite/Paints/paint_blue_common.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0171,其他美术,Assets/Resources/Sprite/Paints/paint_blue_legendary.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0172,其他美术,Assets/Resources/Sprite/Paints/paint_blue_rare.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0173,其他美术,Assets/Resources/Sprite/Paints/paint_gold_common.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0174,其他美术,Assets/Resources/Sprite/Paints/paint_gold_legendary.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0175,其他美术,Assets/Resources/Sprite/Paints/paint_gold_rare.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0176,其他美术,Assets/Resources/Sprite/Paints/paint_green_common.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0177,其他美术,Assets/Resources/Sprite/Paints/paint_green_legendary.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0178,其他美术,Assets/Resources/Sprite/Paints/paint_green_rare.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0179,其他美术,Assets/Resources/Sprite/Paints/paint_purple_common.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0180,其他美术,Assets/Resources/Sprite/Paints/paint_purple_legendary.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0181,其他美术,Assets/Resources/Sprite/Paints/paint_purple_rare.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0182,其他美术,Assets/Resources/Sprite/Paints/paint_red_common.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0183,其他美术,Assets/Resources/Sprite/Paints/paint_red_legendary.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0184,其他美术,Assets/Resources/Sprite/Paints/paint_red_rare.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0185,其他美术,Assets/Resources/Sprite/Paints/paint_white_common.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0186,其他美术,Assets/Resources/Sprite/Paints/paint_white_legendary.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0187,其他美术,Assets/Resources/Sprite/Paints/paint_white_rare.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0188,其他美术,Assets/Resources/Sprite/Paints/paint_yellow_common.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0189,其他美术,Assets/Resources/Sprite/Paints/paint_yellow_legendary.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0190,其他美术,Assets/Resources/Sprite/Paints/paint_yellow_rare.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0191,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_broken_arch.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0192,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_bush_dense.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0193,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_bush_round.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0194,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_campfire_ring.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0195,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_corrupt_crystal.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0196,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_corrupt_mound.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0197,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_corrupt_roots.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0198,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_fallen_log.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0199,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_grass_patch_l.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0200,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_grass_tall.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0201,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_hanging_totem_sign.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0202,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_log_bundle.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0203,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_log_pile.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0204,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_mushroom_cluster.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0205,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_ore_node.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0206,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_resource_stones.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0207,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_rock_cluster.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0208,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_rock_l.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0209,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_rock_pair.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0210,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_rock_s.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0211,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_ruin_altar.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0212,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_ruin_pillar.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0213,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_ruin_wall_low.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0214,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_rune_stone.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0215,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_spike_barricade.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0216,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_stump.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0217,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_supply_barrel.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0218,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_supply_crate.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0219,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_swamp_hut_small.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0220,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_totem_marker.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0221,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_totem_shard.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0222,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_tree_dead.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0223,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_tree_pine.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0224,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_tree_round_l.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0225,PCG 地图,Assets/Resources/Sprite/PCG/Objects/obj_tree_round_s.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0226,PCG 地图,Assets/Resources/Sprite/PCG/POI/poi_cabin_wood_01.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0227,PCG 地图,Assets/Resources/Sprite/PCG/POI/poi_danger_nest_01.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0228,PCG 地图,Assets/Resources/Sprite/PCG/POI/poi_monster_camp_01.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0229,PCG 地图,Assets/Resources/Sprite/PCG/POI/poi_stone_gate_ruin_01.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0230,PCG 地图,Assets/Resources/Sprite/PCG/POI/poi_totem_camp_01.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0231,PCG 地图,Assets/Resources/Sprite/PCG/Route/route_boardwalk_curve.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0232,PCG 地图,Assets/Resources/Sprite/PCG/Route/route_boardwalk_straight.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0233,PCG 地图,Assets/Resources/Sprite/PCG/Route/route_bridge_broken.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0234,PCG 地图,Assets/Resources/Sprite/PCG/Route/route_bridge_long.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0235,PCG 地图,Assets/Resources/Sprite/PCG/Route/route_bridge_short.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0236,PCG 地图,Assets/Resources/Sprite/PCG/Route/route_crossing_marker.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0237,PCG 地图,Assets/Resources/Sprite/PCG/Route/route_shallow_ford.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0238,PCG 地图,Assets/Resources/Sprite/PCG/Route/route_stepping_stones.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0239,PCG 地图,Assets/Resources/Sprite/PCG/Route/route_wooden_dock.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0240,其他美术,Assets/Resources/Sprite/Recipes/recipe_scroll_beast.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0241,其他美术,Assets/Resources/Sprite/Recipes/recipe_scroll_bolt.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0242,其他美术,Assets/Resources/Sprite/Recipes/recipe_scroll_line.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0243,其他美术,Assets/Resources/Sprite/Recipes/recipe_scroll_ring.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0244,其他美术,Assets/Resources/Sprite/Recipes/recipe_scroll_spiral.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0245,其他美术,Assets/Resources/Sprite/Recipes/recipe_scroll_star.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0246,其他美术,Assets/Resources/Sprite/Recipes/recipe_scroll_stream.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0247,其他美术,Assets/Resources/Sprite/Recipes/recipe_scroll_zigzag.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0248,技能,Assets/Resources/Sprite/Skills/skill_chain_lightning.png,图片（PNG）,运行时索引：effect.boss.bolt,运行时通过资源键 effect.boss.bolt 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0249,技能,Assets/Resources/Sprite/Skills/skill_fireball.png,图片（PNG）,运行时索引：effect.skill.burst,运行时通过资源键 effect.skill.burst 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0250,技能,Assets/Resources/Sprite/Skills/skill_heal_aura.png,图片（PNG）,运行时索引：skill.skill_heal_aura_01,运行时通过资源键 skill.skill_heal_aura_01 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0251,技能,Assets/Resources/Sprite/Skills/skill_ice_field.png,图片（PNG）,运行时索引：skill.skill_frost_field_01,运行时通过资源键 skill.skill_frost_field_01 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0252,技能,Assets/Resources/Sprite/Skills/skill_shield.png,图片（PNG）,运行时索引：skill.skill_stomp,运行时通过资源键 skill.skill_stomp 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0253,技能,Assets/Resources/Sprite/Skills/skill_stealth.png,图片（PNG）,运行时索引：skill.skill_phase_dash,运行时通过资源键 skill.skill_phase_dash 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0254,技能,Assets/Resources/Sprite/Skills/skill_summon.png,图片（PNG）,运行时索引：skill.skill_summon,运行时通过资源键 skill.skill_summon 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0255,技能,Assets/Resources/Sprite/Skills/skill_time_slow.png,图片（PNG）,运行时索引：skill.skill_time_slow_01,运行时通过资源键 skill.skill_time_slow_01 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0256,纹身,Assets/Resources/Sprite/Tattoo/Part/Head.png,图片（PNG）,运行时索引：tattoo.part.head,运行时通过资源键 tattoo.part.head 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0257,纹身,Assets/Resources/Sprite/Tattoo/Part/LeftArm.png,图片（PNG）,运行时索引：tattoo.part.left_arm,运行时通过资源键 tattoo.part.left_arm 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0258,纹身,Assets/Resources/Sprite/Tattoo/Part/LeftLeg.png,图片（PNG）,运行时索引：tattoo.part.left_leg,运行时通过资源键 tattoo.part.left_leg 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0259,纹身,Assets/Resources/Sprite/Tattoo/Part/RightArm.png,图片（PNG）,运行时索引：tattoo.part.right_arm,运行时通过资源键 tattoo.part.right_arm 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0260,纹身,Assets/Resources/Sprite/Tattoo/Part/RightLeg.png,图片（PNG）,运行时索引：tattoo.part.right_leg,运行时通过资源键 tattoo.part.right_leg 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0261,纹身,Assets/Resources/Sprite/Tattoo/Part/Torso.png,图片（PNG）,运行时索引：tattoo.part.torso,运行时通过资源键 tattoo.part.torso 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0262,纹身,Assets/Resources/Sprite/Tattoo/Pattern/Beast.png,图片（PNG）,运行时索引：tattoo.pattern.beast,运行时通过资源键 tattoo.pattern.beast 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0263,纹身,Assets/Resources/Sprite/Tattoo/Pattern/Bolt.png,图片（PNG）,运行时索引：tattoo.pattern.bolt,运行时通过资源键 tattoo.pattern.bolt 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0264,纹身,Assets/Resources/Sprite/Tattoo/Pattern/Line.png,图片（PNG）,运行时索引：tattoo.pattern.line,运行时通过资源键 tattoo.pattern.line 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0265,纹身,Assets/Resources/Sprite/Tattoo/Pattern/Ring.png,图片（PNG）,运行时索引：tattoo.pattern.ring,运行时通过资源键 tattoo.pattern.ring 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0266,纹身,Assets/Resources/Sprite/Tattoo/Pattern/Spiral.png,图片（PNG）,运行时索引：tattoo.pattern.spiral,运行时通过资源键 tattoo.pattern.spiral 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0267,纹身,Assets/Resources/Sprite/Tattoo/Pattern/Star.png,图片（PNG）,运行时索引：tattoo.pattern.star,运行时通过资源键 tattoo.pattern.star 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0268,纹身,Assets/Resources/Sprite/Tattoo/Pattern/Stream.png,图片（PNG）,运行时索引：tattoo.pattern.stream,运行时通过资源键 tattoo.pattern.stream 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0269,纹身,Assets/Resources/Sprite/Tattoo/Pattern/Zigzag.png,图片（PNG）,运行时索引：tattoo.pattern.zigzag,运行时通过资源键 tattoo.pattern.zigzag 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0270,界面,Assets/Resources/Sprite/UI/CharacterSelectForm/CharacterSelectForm.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0271,界面,Assets/Resources/Sprite/UI/CharacterSelectForm/CharacterSelectForm_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0272,界面,Assets/Resources/Sprite/UI/CharacterSelectForm/CharacterSelectForm_button_idle.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0273,界面,Assets/Resources/Sprite/UI/CharacterSelectForm/CharacterSelectForm_button_primary.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0274,界面,Assets/Resources/Sprite/UI/CharacterSelectForm/CharacterSelectForm_card_frame_locked.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0275,界面,Assets/Resources/Sprite/UI/CharacterSelectForm/CharacterSelectForm_card_frame_unlocked.png,图片（PNG）,运行时索引：ui.character.card.unlocked,运行时通过资源键 ui.character.card.unlocked 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0276,界面,Assets/Resources/Sprite/UI/CharacterSelectForm/CharacterSelectForm_lock_icon.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0277,界面,Assets/Resources/Sprite/UI/CombatHUDForm/boss_hp_bar.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0278,界面,Assets/Resources/Sprite/UI/CombatHUDForm/boss_phase_icon.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0279,界面,Assets/Resources/Sprite/UI/CombatHUDForm/buff_icon_crit.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0280,界面,Assets/Resources/Sprite/UI/CombatHUDForm/buff_icon_fire.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0281,界面,Assets/Resources/Sprite/UI/CombatHUDForm/buff_icon_ice.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0282,界面,Assets/Resources/Sprite/UI/CombatHUDForm/CombatHUDForm.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0283,界面,Assets/Resources/Sprite/UI/CombatHUDForm/CombatHUDForm_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0284,界面,Assets/Resources/Sprite/UI/CombatHUDForm/hp_bar_normal.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0285,界面,Assets/Resources/Sprite/UI/CombatHUDForm/minimap_frame.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0286,界面,Assets/Resources/Sprite/UI/CombatHUDForm/sidebar_panel_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0287,界面,Assets/Resources/Sprite/UI/CombatHUDForm/skill_slot_e_cooldown.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0288,界面,Assets/Resources/Sprite/UI/CombatHUDForm/skill_slot_q_ready.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0289,界面,Assets/Resources/Sprite/UI/CombatHUDForm/weapon_icon_dagger.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0290,界面,Assets/Resources/Sprite/UI/CombatHUDForm/zone_timer_clock_icon.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0291,界面,Assets/Resources/Sprite/UI/HUD/hud_ammo_box.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0292,界面,Assets/Resources/Sprite/UI/HUD/hud_buff_slot.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0293,界面,Assets/Resources/Sprite/UI/HUD/hud_build_row_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0294,界面,Assets/Resources/Sprite/UI/HUD/hud_hp_bar_frame.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0295,界面,Assets/Resources/Sprite/UI/HUD/hud_minimap_frame.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0296,界面,Assets/Resources/Sprite/UI/HUD/hud_shrink_timer.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0297,界面,Assets/Resources/Sprite/UI/HUD/hud_skill_slot.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0298,界面,Assets/Resources/Sprite/UI/HUD/hud_weapon_frame.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0299,界面,Assets/Resources/Sprite/UI/MainMenuForm/MainMenuForm.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0300,界面,Assets/Resources/Sprite/UI/MainMenuForm/MainMenuForm_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0301,界面,Assets/Resources/Sprite/UI/MainMenuForm/MainMenuForm_button_panel_highlighted.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0302,界面,Assets/Resources/Sprite/UI/MainMenuForm/MainMenuForm_button_panel_idle.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0303,界面,Assets/Resources/Sprite/UI/MainMenuForm/MainMenuForm_title_logo.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0304,界面,Assets/Resources/Sprite/UI/PauseMenuForm/PauseMenuForm.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0305,界面,Assets/Resources/Sprite/UI/PauseMenuForm/PauseMenuForm_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0306,界面,Assets/Resources/Sprite/UI/PauseMenuForm/PauseMenuForm_button_base_highlighted.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
